english_name   chinese_name
event_id       事件編號
occurrence_date       發生日期
accident_category_name       事故類別名稱
handling_unit_name_police_department_level       處理單位名稱警局層
location       發生地點
weather_name       天候名稱
lighting_name       光線名稱
road_category_first_party_name       道路類別-第1當事者-名稱
speed_limit_first_party       速限-第1當事者
road_type_main_category_name       道路型態大類別名稱
road_type_sub_category_name       道路型態子類別名稱
accident_location_main_category_name       事故位置大類別名稱
accident_location_sub_category_name       事故位置子類別名稱
road_condition_paving_name       路面狀況-路面鋪裝名稱
road_condition_surface_status_name       路面狀況-路面狀態名稱
road_condition_surface_defect_name       路面狀況-路面缺陷名稱
road_obstacle_obstacle_name       道路障礙-障礙物名稱
road_obstacle_visibility_quality_name       道路障礙-視距品質名稱
road_obstacle_visibility_name       道路障礙-視距名稱
traffic_light_signal_type_name       號誌-號誌種類名稱
traffic_light_signal_action_name       號誌-號誌動作名稱
lane_division_facility_main_category_name       車道劃分設施-分向設施大類別名稱
lane_division_facility_sub_category_name       車道劃分設施-分向設施子類別名稱
lane_division_facility_fast_lane_or_general_lane_name       車道劃分設施-分道設施-快車道或一般車道間名稱
lane_division_facility_fast_slow_lane_name       車道劃分設施-分道設施-快慢車道間名稱
lane_division_facility_road_edge_line_name       車道劃分設施-分道設施-路面邊線名稱
accident_type_and_category_main_category_name       事故類型及型態大類別名稱
accident_type_and_category_sub_category_name       事故類型及型態子類別名稱
cause_classification_main_category_name_primary       肇因研判大類別名稱-主要
cause_classification_sub_category_name_primary       肇因研判子類別名稱-主要
number_of_deaths_injuries       死亡受傷人數
number_of_deaths       死亡人數
number_of_injuries       受傷人數
party_order       當事者順位
party_classification_category_main_category_name_vehicle       當事者區分-類別-大類別名稱-車種
party_classification_category_sub_category_name_vehicle       當事者區分-類別-子類別名稱-車種
party_gender_name       當事者屬-性-別名稱
party_age_at_time_of_accident       當事者事故發生時年齡
protective_equipment_name       保護裝備名稱
mobile_phone_or_computer_or_other_similar_device_name       行動電話或電腦或其他相類功能裝置名稱
party_action_status_main_category_name       當事者行動狀態大類別名稱
party_action_status_sub_category_name       當事者行動狀態子類別名稱
vehicle_impact_location_main_category_name_initial       車輛撞擊部位大類別名稱-最初
vehicle_impact_location_sub_category_name_initial       車輛撞擊部位子類別名稱-最初
vehicle_impact_location_main_category_name_other       車輛撞擊部位大類別名稱-其他
vehicle_impact_location_sub_category_name_other       車輛撞擊部位子類別名稱-其他
cause_classification_main_category_name_individual       肇因研判大類別名稱-個別
cause_classification_sub_category_name_individual       肇因研判子類別名稱-個別
hit_and_run_category_name       肇事逃逸類別名稱-是否肇逃
longitude       經度
latitude       緯度
