"imgName","lat","lng","dataTime","remark","uploader","marker","checker","label","createdAt","updatedAt","sidewalk","protective","wheelchair","occupation","walkRisk","riskRate","purpose","imgUrl","_id","rankA1","rankB1","rankC1"
1,24.8212887993158,121.024891734123,"2022-10-22T12:00:00.000Z","","6220a7e810be1548e5c8d09a","5e748a1d4894f400bb0cf7df","63b29f74181b962669dffd90","符合規定","2022-10-22T23:35:17.214Z","2023-01-02T09:12:05.829Z","有設置人行道或騎樓","實體人行道(有實體分隔)","輪椅可以通行（寬於100公分）","","有機車行駛","總是如此(100%~95%)","休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63547e354f042e0713951435.jpg","63547e354f042e0713951435",6.4,4,4
2,24.8213131436208,121.024679839611,"2022-10-22T10:34:00.000Z",,"6220a7e810be1548e5c8d09a","6382cf3ad8489c66ec0a5947",,"符合規定","2022-10-23T00:08:34.965Z","2022-11-27T03:13:12.919Z","有設置人行道或騎樓","實體人行道(有實體分隔)","輪椅可以通行（寬於100公分）","","有機車行駛","常如此(79~50%)","親子活動|通學|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/635486024f042ef94f951437.jpg","635486024f042ef94f951437",6.4,4,4
3,24.7412194444444,121.084952777778,"2022-10-23T01:54:00.000Z",,"6220a7e810be1548e5c8d09a","63aaba694ee1ac5fdf6327b9",,"一地多樣","2022-10-23T04:37:35.254Z","2022-12-27T09:41:20.853Z","有人行道或騎樓","騎樓","輪椅可以通行（寬於100公分）","","無車輛行駛","總是如此(100%~95%)","通學|親子活動","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354c50f4f042e1fce951438.jpg","6354c50f4f042e1fce951438",10,10,10
4,24.7972277777778,120.996291666667,"2022-10-23T01:08:00.000Z",,"6220a7e810be1548e5c8d09a","63a8fd9b4ee1aca5f6632785",,"符合規定","2022-10-23T04:39:25.958Z","2022-12-27T00:47:02.024Z","有人行道或騎樓","實體人行道(有實體分隔)","輪椅可以通行（寬於100公分）","","有機車行駛","總是如此(100%~95%)","通學|採購食物|採購日用|工作","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354c57d4f042e531995143a.jpg","6354c57d4f042e531995143a",6.4,4,4
5,24.7982944444444,120.997427777778,"2022-10-23T01:08:00.000Z",,"6220a7e810be1548e5c8d09a","63ad27004ee1ac2f84632863",,"嚴重風險","2022-10-23T04:40:08.856Z","2022-12-29T05:42:20.788Z","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","","有汽車行駛","總是如此(100%~95%)","親子活動|通學|採購食物|採購日用|工作","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354c5a84f042e1f6c95143b.jpg","6354c5a84f042e1f6c95143b",0,-10,0
6,24.7970972222222,120.996375,"2022-10-23T00:52:00.000Z",,"6220a7e810be1548e5c8d09a",,,,"2022-10-23T04:40:49.724Z","2022-10-23T04:40:49.724Z","有人行道或騎樓","實體人行道(有實體分隔)","輪椅可以通行（寬於100公分）","","有機車行駛","偶爾如此(29~10%)","通學|工作|休閒|親子活動","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354c5d14f042ea73495143c.jpg","6354c5d14f042ea73495143c",6.4,4,4
7,24.7988444444444,120.993652777778,"2022-10-23T00:51:00.000Z",,"6220a7e810be1548e5c8d09a",,,,"2022-10-23T04:41:33.781Z","2022-10-23T04:41:33.781Z","有人行道或騎樓","實體人行道(有實體分隔)","輪椅無法通行（窄於100公分）","","有機車行駛","有時如此(49~30%)","就醫、照護|通學|採購食物|採購日用|工作","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354c5fd4f042e221695143d.jpg","6354c5fd4f042e221695143d",5.4,1.5,2
8,24.8217318649185,121.025999486446,"2022-10-22T11:39:00.000Z",,"6220a7e810be1548e5c8d09a",,,,"2022-10-23T04:43:53.294Z","2022-10-23T04:43:53.294Z","有設置人行道或騎樓","實體人行道(有實體分隔)","輪椅無法通行（窄於100公分）","","無車輛行駛","總是如此(100%~95%)","親子活動|通學|採購食物|採購日用|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354c6894f042e154e95143e.jpg","6354c6894f042e154e95143e",9,7.5,5
9,24.8212790615924,121.025959253311,"2022-10-22T11:36:00.000Z","","6220a7e810be1548e5c8d09a","63a8fd9b4ee1aca5f6632785",,"","2022-10-23T04:53:22.758Z","2022-12-27T00:47:47.282Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","","有汽車行駛","總是如此(100%~95%)","採購日用|採購食物|通學|親子活動|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354c8c24f042e178f95143f.jpg","6354c8c24f042e178f95143f",0,-10,0
10,24.7357777777778,121.088530555556,"2022-10-23T01:25:00.000Z",,"6220a7e810be1548e5c8d09a",,,,"2022-10-23T04:58:52.120Z","2022-10-23T04:58:52.120Z","有設置人行道或騎樓","騎樓","輪椅可以通行（寬於100公分）","","有汽車行駛","總是如此(100%~95%)","親子活動|通學|採購日用|工作","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6354ca0c4f042e92f9951440.jpg","6354ca0c4f042e92f9951440",4,0,0
